"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-18700 MW)
17-Apr-23 16,31728,30624,43406,26206,5785,15000,-4418,-5918
24-Apr-23 17,31762,30805,44506,27306,4685,15000,-3499,-4999
01-May-23 18,31785,30603,44866,27666,4325,15000,-2937,-4437
08-May-23 19,32344,31162,45532,28332,3659,15000,-2830,-4330
15-May-23 20,32816,31634,46394,29194,2797,15000,-2440,-3940
22-May-23 21,33099,31917,46987,29787,2204,15000,-2130,-3630
29-May-23 22,33681,32499,47187,29987,2004,15000,-2512,-4012
05-Jun-23 23,32907,31626,47377,30177,1814,15000,-1449,-2949
12-Jun-23 24,33085,31804,47377,30177,1814,15000,-1627,-3127
19-Jun-23 25,33072,31791,47377,30177,1814,15000,-1614,-3114
26-Jun-23 26,33296,32015,47100,29900,2091,15000,-2115,-3615
03-Jul-23 27,33374,31883,46503,29303,2688,15000,-2580,-4080
10-Jul-23 28,33312,31821,46753,29553,2438,15000,-2268,-3768
17-Jul-23 29,33806,32315,46563,29363,2628,15000,-2952,-4452
24-Jul-23 30,33869,32378,46215,29015,2976,15000,-3363,-4863
31-Jul-23 31,33172,31681,45640,28440,3551,15000,-3241,-4741
07-Aug-23 32,32921,31227,45924,28724,3267,15000,-2503,-4003
14-Aug-23 33,32522,30828,45508,28308,3683,15000,-2520,-4020
21-Aug-23 34,32669,30975,45746,28546,3445,15000,-2429,-3929
28-Aug-23 35,32154,30475,45851,28651,3340,15000,-1824,-3324
04-Sep-23 36,32329,30642,45201,28001,3990,15000,-2641,-4141
11-Sep-23 37,32319,30633,46023,28823,3168,15000,-1810,-3310
18-Sep-23 38,31676,29989,45773,28573,3418,15000,-1416,-2916
25-Sep-23 39,31623,29936,44925,27725,4266,15000,-2211,-3711
02-Oct-23 40,31635,29659,44545,27345,4646,15000,-2314,-3814
09-Oct-23 41,31372,29395,44635,27435,4556,15000,-1960,-3460
16-Oct-23 42,31286,29309,44351,27151,4840,15000,-2158,-3658
23-Oct-23 43,30991,29015,43538,26338,5653,15000,-2677,-4177
30-Oct-23 44,30837,28860,43708,26508,5483,15000,-2352,-3852
06-Nov-23 45,30480,28381,43100,25900,6091,13000,-481,-1981
13-Nov-23 46,30439,28371,42359,25159,6832,13000,-1212,-2712
20-Nov-23 47,30288,28220,42756,27556,6435,13000,-664,-2164
27-Nov-23 48,30059,27991,43075,27875,6116,13000,-116,-1616
04-Dec-23 49,30063,27880,43132,27932,6059,13000,52,-1448
11-Dec-23 50,30109,27927,41939,26739,7252,13000,-1188,-2688
18-Dec-23 51,28935,26752,40390,25190,8801,13000,-1562,-3062
25-Dec-23 52,26312,24130,40190,24990,9001,13000,860,-640
01-Jan-24 1,27954,25810,41203,26003,7988,13000,193,-1307
08-Jan-24 2,29548,27404,41303,26103,7888,13000,-1301,-2801
15-Jan-24 3,30300,28156,42362,27162,6829,13000,-994,-2494
22-Jan-24 4,30273,28129,42510,27310,6681,13000,-819,-2319
29-Jan-24 5,30490,28346,43512,28312,5679,13000,-34,-1534
05-Feb-24 6,31030,28940,43121,27921,6070,13000,-1019,-2519
12-Feb-24 7,31154,29065,43268,28068,5923,13000,-997,-2497
19-Feb-24 8,31289,29199,43763,28563,5428,13000,-636,-2136
26-Feb-24 9,31095,29006,43148,27948,6043,13000,-1058,-2558
04-Mar-24 10,31512,29552,44306,29106,4885,13000,-446,-1946
11-Mar-24 11,31196,29236,44563,29363,4628,13000,127,-1373
18-Mar-24 12,31440,29480,45476,30276,3715,13000,796,-704
25-Mar-24 13,31322,29276,45826,30626,3365,13000,1350,-150
01-Apr-24 14,"#N/A","#N/A","#N/A","#N/A","#N/A",13000,"#N/A","#N/A"
08-Apr-24 15,"#N/A","#N/A","#N/A","#N/A","#N/A",13000,"#N/A","#N/A"
